代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来,,
1,华夏成长,0.9261,-5.10%,-10.32%,-18.57%,-18.68%,-20.16%,399.55%,,
2,华夏成长(后端),,,,,,,,后端,转至1
3,中海可转债债券A,0.6373,-3.34%,-5.49%,-13.57%,-22.79%,-34.40%,-25.11%,,
4,中海可转债债券C,0.6373,-3.34%,-5.49%,-13.69%,-23.16%,-35.07%,-25.11%,,
5,嘉实增强信用定期债券,1.0282,0.57%,1.65%,3.57%,5.83%,11.90%,28.99%,,
8,嘉实中证500ETF联接A,1.1558,-8.20%,-15.99%,-27.03%,-33.37%,-30.79%,21.54%,,
9,易方达天天理财货币A,0.8153,0.25%,0.86%,1.86%,3.96%,10.78%,24.09%,,
10,易方达天天理财货币B,0.88,0.27%,0.92%,1.99%,4.21%,11.58%,25.76%,,
11,华夏大盘精选,11.4173,-0.26%,-11.10%,-14.65%,-8.19%,20.42%,1886.29%,,
12,华夏大盘精选(后端),,,,,,,,,
13,易方达天天理财货币R,0.8828,0.27%,0.92%,1.99%,4.22%,11.61%,25.83%,,
14,华夏聚利债券,1.1072,-0.90%,-1.86%,-4.49%,-5.39%,-1.69%,10.60%,,
15,华夏纯债债券A,1.2312,0.65%,1.90%,3.10%,5.12%,11.01%,26.33%,,
16,华夏纯债债券C,1.2022,0.59%,1.78%,2.91%,4.61%,9.59%,23.39%,,
17,财通可持续混合,1.2334,-0.48%,-10.94%,-15.72%,-15.15%,-13.10%,101.34%,,
20,景顺长城品质投资混合,1.5307,-4.44%,-19.96%,-25.50%,-23.57%,1.67%,68.67%,,
21,华夏优势增长混合,1.3257,-8.57%,-15.73%,-24.19%,-27.34%,-20.66%,168.88%,,
24,大摩双利增强债券A,1.1205,0.45%,1.91%,2.19%,4.28%,13.61%,39.97%,,
25,大摩双利增强债券C,1.1065,0.45%,1.84%,2.03%,3.85%,12.36%,38.43%,,
28,华富保本混合,1.0116,2.99%,0.20%,-0.30%,-0.98%,-0.49%,1.98%,,
29,富国宏观策略,1.4716,-3.88%,-5.55%,-16.02%,-7.58%,12.75%,70.05%,,
30,长城久利保本混合,1.0397,4.00%,0.22%,0.87%,2.06%,1.17%,3.46%,,
31,华夏复兴混合,1.1972,-6.60%,-16.57%,-28.52%,-34.73%,-36.57%,18.80%,,
32,易方达信用债债券A,1.3042,0.85%,1.80%,3.25%,4.91%,12.80%,30.40%,,
33,易方达信用债债券C,1.2762,0.79%,1.67%,3.07%,4.68%,11.64%,27.60%,,
37,广发理财7天债券A,0.9485,0.28%,0.98%,2.06%,4.32%,11.34%,24.16%,,
38,广发理财7天债券B,1.0274,0.31%,1.05%,2.20%,4.62%,12.31%,25.38%,,
39,农银高增长混合,1.5385,-5.52%,-14.27%,-17.86%,-21.86%,-16.63%,54.76%,,
41,华夏全球精选,0.9712,-6.65%,-4.56%,-1.11%,-7.70%,23.80%,-1.70%,,
42,中证财通可持续发展100指数A,1.4899,-1.14%,-5.24%,-10.73%,-12.21%,-4.85%,49.00%,,
43,嘉实美国成长股票,1.8614,-7.96%,0.70%,14.35%,17.28%,50.08%,87.30%,,
44,嘉实美国成长股票现汇,1.6486,-8.80%,-3.55%,4.02%,11.50%,37.37%,65.80%,,
45,工银产业债A,1.3119,0.77%,0.69%,0.46%,2.58%,10.69%,47.55%,,
46,工银产业债B,1.2889,0.78%,0.70%,0.31%,2.22%,9.41%,43.99%,,
47,华夏双债增强债券A,1.1509,-1.54%,-0.61%,-2.71%,-0.95%,3.78%,38.00%,,
48,华夏双债增强债券C,1.1379,-1.56%,-0.70%,-2.82%,-1.13%,3.08%,36.04%,,
49,中银标普全球资源等权重指数,1.0835,1.86%,-2.32%,2.15%,4.99%,44.52%,9.40%,,
51,华夏沪深300ETF联接A,1.0578,-2.89%,-7.04%,-18.00%,-17.55%,1.07%,4.30%,,
53,鹏华实业债纯债债券,1.4178,1.07%,2.79%,4.95%,5.26%,1.15%,43.15%,,
54,鹏华双债增利债券,1.1437,0.81%,1.33%,1.61%,1.71%,11.71%,32.60%,,
55,广发纳斯达克100指数美元现汇,0.315,-7.64%,-4.91%,4.06%,14.10%,58.01%,66.67%,,
56,建信消费升级混合,1.5305,-1.73%,-11.40%,-16.84%,-21.20%,1.26%,53.10%,,
57,中银消费主题混合,1.254,0.24%,-10.62%,-14.11%,-15.38%,-17.66%,25.40%,,
58,国联安保本混合,1.0287,2.88%,0.24%,0.90%,1.19%,2.89%,-0.47%,,
59,国联安中证医药100,0.7869,-7.35%,-23.49%,-25.46%,-22.17%,-21.83%,20.69%,,
61,华夏盛世混合,0.5413,-10.63%,-15.01%,-34.15%,-46.73%,-45.38%,-46.20%,,
62,银华量化智慧动力混合,,,,,,,,已终止,
63,长盛电子信息主题灵活配置混合,1.2491,-6.91%,-20.86%,-28.58%,-34.45%,-40.72%,25.20%,,
64,大摩18个月定期开放债券,1.0602,1.05%,3.61%,4.00%,6.66%,18.10%,51.57%,,
65,国富焦点驱动混合,1.3999,0.72%,-0.07%,-2.91%,-3.84%,12.04%,58.66%,,
66,诺安鸿鑫保本混合,1.0733,7.30%,0.56%,1.80%,2.29%,3.97%,8.48%,,
67,民生加银转债优选A,0.6041,-0.66%,-1.31%,-6.93%,-11.82%,-23.83%,-16.12%,,
68,民生加银转债优选C,0.5961,-0.83%,-1.32%,-7.17%,-12.22%,-24.65%,-17.81%,,
69,国投瑞银中高等级债券A,1.0865,0.00%,1.01%,1.86%,4.39%,10.29%,37.24%,,
70,国投瑞银中高等级债券C,1.0845,0.00%,1.02%,1.77%,4.11%,9.29%,34.88%,,
71,华夏恒生ETF联接A,1.4065,-3.13%,-6.36%,-9.21%,-6.48%,27.55%,37.88%,,
72,华安保本混合,1.0571,5.60%,-0.38%,-0.19%,0.28%,2.23%,13.29%,,
73,上投成长动力,0.9568,-11.12%,-28.23%,-33.87%,-32.22%,-23.80%,-4.90%,,
74,工银信用纯债一年定开债券A,1.3892,0.36%,3.12%,5.07%,5.95%,11.93%,38.90%,,
75,华夏恒生ETF联接现汇,0.2035,-3.99%,-10.26%,-17.36%,-10.90%,17.15%,26.27%,,
76,华夏恒生ETF联接现钞,--,2.17%,8.05%,33.45%,33.45%,34.52%,49.02%,,
77,工银信用纯债一年定开债券C,1.3592,0.30%,3.03%,4.86%,5.51%,10.58%,35.90%,,
78,工银信用纯债两年定开债A,1.2562,0.72%,2.95%,3.89%,4.41%,9.03%,25.60%,,
79,工银信用纯债两年定开债C,1.2322,0.74%,2.84%,3.70%,3.97%,7.79%,23.20%,,
80,天治可转债增强债券A,1.0876,0.83%,0.37%,-4.30%,-3.54%,-21.47%,9.00%,,
81,天治可转债增强债券C,1.0675,0.85%,0.28%,-4.46%,-3.95%,-22.41%,7.00%,,
82,嘉实研究阿尔法股票,1.1402,-1.38%,-10.27%,-15.99%,-15.62%,8.19%,76.46%,,
83,汇添富消费行业混合,2.9958,-1.18%,-11.35%,-11.99%,-3.44%,36.50%,192.10%,,
84,博时安盈债券A,1.1912,0.51%,1.45%,2.94%,4.84%,10.69%,23.32%,,
85,博时安盈债券C,1.1682,0.43%,1.39%,2.73%,4.38%,9.36%,20.49%,,
86,南方稳利1年定开债A,1.0282,0.49%,1.28%,2.08%,3.52%,9.90%,29.56%,,
87,嘉实中证金边国债ETF联接A,1.0633,0.51%,-0.05%,0.74%,0.73%,-0.45%,6.34%,,
88,嘉实中证金边国债ETF联接C,1.0574,0.49%,-0.07%,0.67%,0.52%,-0.66%,5.75%,,
89,民生加银家盈理财月度A,0.9136,0.28%,0.99%,2.12%,4.43%,12.30%,25.46%,,
90,民生加银家盈理财月度B,0.98,0.30%,1.05%,2.24%,4.68%,13.09%,26.87%,,
91,信诚新双盈分级债券,0.9885,0.51%,-0.60%,-0.61%,0.18%,3.63%,39.09%,,
92,信诚新双盈分级债券A,,,,,,,,债券,下个版本添加
93,信诚新双盈分级债券B,0.9595,0.95%,-0.83%,-4.26%,-5.90%,-4.06%,32.18%,,
103,国泰中国企业境外高收益债券,--,1.04%,7.44%,7.86%,2.03%,20.28%,35.80%,,
104,华宸未来稳健添利债券A,1.0592,-0.13%,0.51%,-0.53%,-2.54%,2.46%,29.11%,,
105,建信安心回报债券A,1.2542,0.40%,1.05%,2.53%,4.94%,8.10%,26.64%,,
106,建信安心回报债券C,1.2272,0.33%,0.99%,2.34%,4.60%,6.97%,23.92%,,
107,富国稳健增强债券A/B,1.0717,0.28%,0.85%,1.52%,3.38%,10.40%,42.09%,,
108,富国稳健增强债券A/B(后端),,,,,,,,,
109,富国稳健增强债券C,1.0617,0.19%,0.76%,1.24%,2.91%,8.87%,38.73%,,
110,金鹰元安混合A,1.0797,-2.25%,0.66%,1.81%,2.12%,5.19%,36.19%,,
111,易方达纯债1年定开债A,1.0402,0.39%,1.94%,2.77%,5.16%,12.80%,32.99%,,
112,易方达纯债1年定开债C,1.0332,0.39%,1.85%,2.60%,4.92%,11.77%,30.69%,,
113,嘉实如意宝定期债券A,1.1762,0.60%,1.91%,3.25%,5.09%,9.48%,34.15%,,
114,嘉实如意宝定期债券A(后端),,,,,,,,,
115,嘉实如意宝定期债券C,1.1592,0.52%,1.76%,3.02%,4.60%,8.13%,31.31%,,
116,嘉实丰益纯债定期债券,1.0125,0.50%,1.18%,2.50%,5.12%,10.58%,31.58%,,
117,广发轮动配置混合,1.2346,-4.06%,-17.00%,-17.89%,-29.35%,-17.23%,23.00%,,
118,广发聚鑫债券A,1.1639,-2.02%,-5.59%,-8.34%,-5.28%,-2.31%,60.72%,,
119,广发聚鑫债券C,1.1529,-2.04%,-5.72%,-8.56%,-5.80%,-3.32%,58.48%,,
120,中银美丽中国混合,1.1059,-1.50%,-11.16%,-16.37%,-15.92%,-10.52%,15.22%,,
121,华夏永福混合A,1.5298,-2.06%,-2.50%,-6.51%,-5.05%,7.41%,52.20%,,
122,汇添富实业债债券A,1.0982,0.09%,0.73%,-2.14%,0.09%,5.67%,40.06%,,
123,汇添富实业债债券C,1.0682,0.00%,0.28%,-2.20%,-0.47%,4.13%,36.63%,,
124,华宝服务优选混合,1.4576,-7.59%,-16.76%,-17.84%,-17.89%,-22.34%,59.30%,,
125,上投摩根天颐年丰混合A,0.9904,-0.20%,-1.10%,-1.78%,0.43%,7.39%,36.13%,,
126,招商安润保本混合,1.0266,2.60%,-0.39%,-0.58%,-0.39%,-0.10%,7.40%,,
127,农银行业领先混合,2.0126,-3.49%,-15.31%,-12.68%,-9.88%,37.85%,101.45%,,
128,大成景安短融债券A,1.2018,0.21%,0.91%,1.83%,4.37%,11.95%,30.75%,,
129,大成景安短融债券B,1.2234,0.23%,0.99%,1.99%,4.67%,12.93%,32.92%,,
130,大成景兴信用债债券A,1.2222,0.49%,2.51%,5.70%,8.04%,15.25%,55.01%,,
