代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来,
1219,上投摩根动态多因子混合,0.6372,-3.93%,-13.49%,-19.31%,-22.18%,-11.68%,-36.50%,
1220,民生加银研究精选混合,0.638,-4.48%,-14.46%,-17.87%,-25.18%,-25.26%,-36.10%,
1222,鹏华外延成长混合,0.8068,-1.11%,-16.09%,-17.13%,-16.96%,-2.19%,-19.70%,
1223,鹏华文化传媒娱乐股票,0.8355,-5.76%,-19.87%,-28.08%,-24.64%,--,-16.50%,
1224,中邮新思路灵活配置混合,1.0284,-0.77%,-2.45%,-2.54%,-2.91%,--,3.50%,
1225,中邮趋势精选灵活配置混合,0.4486,-1.55%,-12.89%,-22.30%,-31.70%,-37.97%,-55.40%,
1226,中邮稳健添利灵活配置混合,1.2341,0.08%,-0.16%,-0.32%,0.73%,11.27%,23.40%,
1227,中邮信息产业灵活配置混合,0.5058,-6.27%,-10.88%,-22.32%,-26.59%,-38.57%,-49.20%,
1228,国联安鑫享灵活配置混合A,0.7666,-2.38%,-15.17%,-23.10%,-24.13%,-14.22%,-13.79%,
1229,德邦福鑫灵活配置混合A,1.0115,1.49%,-10.81%,-12.88%,-11.07%,-0.48%,1.06%,
1230,鹏华医药科技,0.4821,-5.29%,-25.12%,-18.14%,-12.02%,-13.13%,-51.70%,
1231,银华泰利灵活配置混合A,1.1881,1.89%,0.76%,0.76%,3.76%,13.37%,18.70%,
1232,嘉合货币A,0.602,0.24%,0.76%,1.76%,3.84%,11.80%,13.28%,
1233,嘉合货币B,0.6683,0.26%,0.82%,1.89%,4.09%,12.61%,14.23%,
1234,国金众赢货币,0.8992,0.28%,0.94%,2.00%,4.20%,11.52%,13.07%,
1235,中银国有企业债A,1.0073,0.50%,1.59%,2.81%,4.77%,9.90%,10.01%,
1236,博时丝路主题股票A,0.7952,-2.62%,-10.64%,-18.13%,-12.83%,16.74%,-21.90%,
1237,博时上证50ETF联接A,0.8735,-0.18%,-0.51%,-11.04%,-8.78%,15.02%,-14.47%,
1239,长盛国企改革混合,0.3744,-4.33%,-10.90%,-18.79%,-18.97%,-36.27%,-62.40%,
1240,民生加银现金增利货币D,0.7251,0.25%,0.90%,1.90%,3.97%,10.44%,12.11%,
1241,国寿安保中证500ETF联接,0.4187,-8.30%,-16.17%,-27.03%,-33.06%,-31.84%,-58.12%,
1242,博时中证淘金大数据100A,0.7356,-6.80%,-13.99%,-23.73%,-25.60%,13.44%,-26.55%,
1243,博时中证淘金大数据100I,0.7359,-6.79%,-13.99%,-23.71%,-25.58%,13.45%,-26.52%,
1244,华泰柏瑞量化智慧混合A,0.8763,-4.99%,-13.71%,-21.87%,-28.21%,5.02%,-7.91%,
1245,工银生态环境股票,0.5678,-1.74%,-11.70%,-20.28%,-34.03%,-38.01%,-43.40%,
1246,兴银长乐定开债,1.0191,0.39%,2.28%,3.60%,5.36%,15.43%,17.97%,
1247,华泰柏瑞新利混合A,1.0019,0.71%,-0.36%,-0.85%,-0.01%,10.56%,11.95%,
1249,易方达新利灵活配置混合,1.1489,-1.80%,-2.14%,-3.95%,0.53%,13.04%,14.40%,
1250,天弘新活力混合,1.1209,0.46%,0.47%,0.11%,0.80%,10.67%,12.03%,
1251,天弘现金管家货币D,0.5366,0.20%,0.67%,1.67%,3.63%,9.46%,10.77%,
1252,中海进取收益混合,0.8729,-4.33%,-12.13%,-19.71%,-19.27%,-11.25%,-11.60%,
1253,建信回报灵活配置混合,1.1382,0.71%,0.00%,-0.70%,-0.53%,8.73%,13.30%,
1254,泰达宏利新起点混合A,0.963,-2.13%,-3.88%,-14.35%,-15.47%,-5.47%,-3.30%,
1255,长城改革红利混合,0.5016,-7.67%,-17.30%,-24.17%,-33.69%,-28.49%,-49.80%,
1256,泓德优选成长混合,0.9271,-3.72%,-8.81%,-14.65%,-12.43%,16.76%,7.65%,
1257,兴业收益增强债券A,1.127,-0.88%,-2.09%,-2.68%,-2.34%,10.50%,12.60%,
1258,兴业收益增强债券C,1.1069,-0.90%,-2.21%,-2.90%,-2.90%,8.75%,10.60%,
1259,德邦鑫星稳健灵活配置混合,,,,,,,,已终止
1261,中融新机遇混合,0.8633,-2.35%,-11.03%,-12.37%,-14.19%,-13.25%,-12.90%,
1262,大成景明灵活配置混合A,1.052,0.10%,-0.47%,-0.57%,0.10%,4.79%,5.10%,
1263,大成景穗灵活配置混合A,,,,,,,,已终止
1264,银华恒利灵活配置混合A,1.0733,3.04%,1.31%,2.65%,3.93%,12.45%,15.04%,
1265,国泰兴益灵活配置混合A,0.9522,-0.31%,-4.59%,-6.35%,-5.73%,8.42%,9.29%,
1266,国投瑞银招财混合,0.7286,-10.88%,-22.10%,-28.87%,-30.13%,-24.14%,-24.21%,
1267,泰达宏利蓝筹混合,0.5444,-1.97%,-16.26%,-17.52%,-17.27%,-23.64%,-45.40%,
1268,富国国家安全主题混合,0.4798,-15.28%,-17.04%,-28.81%,-24.04%,-35.28%,-52.30%,
1270,英大灵活配置混合型发起式A,1.0215,0.55%,-0.93%,-5.25%,-5.48%,4.82%,6.70%,
1271,英大灵活配置混合型发起式B,1.0036,0.25%,-1.34%,-5.75%,-6.10%,3.11%,4.86%,
1272,兴业聚利灵活配置混合,1.1328,0.00%,-12.18%,-24.40%,-30.73%,1.35%,12.50%,
1273,民生加银新动力混合A,1.0286,-0.87%,-1.16%,-5.62%,-6.99%,2.19%,2.50%,
1274,民生加银新动力混合D,--,0.00%,0.00%,0.00%,0.00%,--,0.00%,
1275,中邮创新优势灵活配置混合,0.7211,-5.45%,-7.60%,-9.33%,-11.31%,-33.67%,-27.10%,
1276,建信新经济灵活配置混合,0.6754,-3.89%,-12.92%,-19.83%,-18.66%,-18.26%,-33.30%,
1277,博时国企改革股票,0.6837,-4.38%,-9.50%,-17.36%,-21.94%,-5.85%,-32.40%,
1278,前海开源清洁能源混合A,1.0054,-3.51%,-5.75%,-7.21%,-7.47%,11.72%,11.95%,
1279,中海积极增利混合,0.6648,-9.12%,-17.12%,-28.25%,-32.39%,-28.86%,-33.20%,
1280,银华聚利灵活配置混合A,1.1064,-2.12%,-13.63%,-17.24%,-11.63%,-0.81%,10.90%,
1281,长安鑫利优选混合A,1.4666,-0.42%,-10.45%,-12.02%,-2.72%,38.34%,46.23%,
1282,华安新机遇灵活配置,1.0409,-0.88%,-1.03%,-0.92%,1.10%,4.98%,3.93%,
1283,红塔红土盛金新动力混合A,0.8606,-2.38%,-8.09%,-12.11%,-10.89%,-0.74%,3.59%,
1284,红塔红土盛金新动力混合C,0.8575,-2.40%,-8.16%,-12.23%,-11.12%,0.08%,-2.46%,
1285,易方达新鑫混合I,1.0203,2.52%,1.39%,-0.59%,-0.35%,13.31%,15.80%,
1286,易方达新鑫混合E,1.0128,2.53%,0.60%,-1.36%,-1.03%,12.10%,14.12%,
1287,安信优势增长混合A,1.2794,-4.45%,-10.56%,-14.63%,-6.02%,24.83%,28.70%,
1289,银华汇利灵活配置混合A,1.3943,0.72%,1.60%,3.18%,5.77%,29.07%,39.40%,
1290,广发安泰混合,,,,,,,,已终止
1291,大摩量化多策略股票,0.7053,-2.22%,-10.75%,-20.58%,-27.59%,-19.77%,-29.40%,
1294,新华战略新兴产业灵活配置混合,0.5091,-11.81%,-19.24%,-33.85%,-43.24%,-49.80%,-49.20%,
1295,大成景源灵活配置混合A,1.2001,0.33%,4.08%,3.54%,5.08%,14.85%,19.90%,
1296,长城转型成长灵活配置混合,0.935,-0.60%,-7.78%,-11.55%,-10.20%,--,-6.07%,
1297,平安大华智慧中国混合,0.4103,-5.18%,-18.09%,-23.24%,-28.92%,-49.24%,-59.70%,
1298,金鹰民族新兴混合,0.8683,2.12%,-7.85%,-15.38%,-17.71%,-11.05%,-13.10%,
1299,兴业添利债券,1.0091,0.59%,2.19%,3.41%,5.59%,14.42%,16.48%,
1300,大成睿景灵活配置混合A,0.5518,-6.48%,-17.59%,-26.84%,-30.01%,-26.54%,-45.20%,
1301,大成睿景灵活配置混合C,0.5368,-6.66%,-17.75%,-27.09%,-30.51%,-28.26%,-46.70%,
1302,前海开源金银珠宝混合A,0.8081,3.98%,-6.37%,-25.09%,-19.50%,-18.78%,-19.10%,
1303,银华稳利灵活配置混合A,0.9288,0.00%,-2.52%,-14.07%,-17.80%,-6.64%,-7.20%,
1304,建信鑫安回报灵活配置混合,1.0004,0.00%,-1.38%,-2.34%,-1.68%,8.56%,12.90%,
1305,九泰天富改革混合,0.5261,-6.24%,-15.71%,-22.76%,-28.73%,-40.43%,-47.40%,
1306,中欧永裕混合A,0.7609,-7.19%,-10.56%,-17.80%,-19.28%,-9.07%,-23.80%,
1307,中欧永裕混合C,0.7406,-7.25%,-10.71%,-18.10%,-19.78%,-11.03%,-25.80%,
1308,博时外服货币,0.7245,0.23%,0.82%,1.84%,4.13%,11.40%,12.42%,
1309,东方红睿逸定期开放混合,1.3256,-0.77%,-1.52%,-3.50%,4.43%,30.78%,29.60%,
1310,华泰柏瑞行业竞争优势混合,0.9346,-3.67%,-18.05%,-21.09%,-21.48%,--,-6.88%,
1311,华安新回报灵活配置混合,1.148,0.44%,0.61%,1.50%,3.23%,12.87%,14.90%,
1312,华安新优选灵活配置混合A,0.8875,-0.89%,-2.84%,-14.18%,-15.08%,-10.82%,-11.00%,
1313,上投摩根智慧互联股票,0.5066,-9.57%,-27.04%,-33.33%,-37.88%,-30.89%,-49.00%,
1314,易方达新益混合I,1.3589,-0.95%,-1.74%,-2.79%,1.27%,35.84%,35.70%,
1315,易方达新益混合E,1.8105,-1.04%,-1.79%,-2.95%,1.06%,81.53%,80.80%,
1316,安信稳健增值混合A,1.1773,0.38%,1.17%,1.86%,6.03%,21.43%,23.38%,
1318,东方新策略灵活配置混合A,0.9499,0.74%,-1.97%,-6.91%,-12.89%,-5.34%,-5.09%,
1319,农银信息传媒股票,0.5813,-6.92%,-14.21%,-22.56%,-27.46%,-35.44%,-41.50%,
1320,工银丰盈回报灵活配置混合,0.9849,-2.38%,-7.52%,-13.15%,-13.99%,-3.24%,-1.60%,
1322,东吴新趋势,0.4431,-9.68%,-20.00%,-30.54%,-36.99%,-54.29%,-55.20%,
1323,东吴移动互联A,0.8385,-4.71%,-22.02%,-23.84%,-24.58%,-14.49%,-15.00%,
1324,华宝新价值混合,1.1082,0.20%,-0.79%,-1.19%,0.43%,10.14%,10.80%,
1325,鹏华弘和混合A,1.1356,0.43%,0.77%,0.72%,3.14%,12.71%,13.50%,
1326,鹏华弘和混合C,1.1184,0.42%,0.76%,0.69%,3.10%,11.32%,11.77%,
1327,鹏华弘华混合A,0.9207,-1.88%,-10.72%,-18.27%,-16.15%,-6.62%,-3.35%,
1328,鹏华弘华混合C,0.8249,-1.88%,-10.71%,-18.17%,-16.02%,-6.99%,-17.59%,
1329,鹏华弘实混合A,1.0718,0.90%,-0.04%,0.37%,2.39%,11.67%,12.90%,
1330,鹏华弘实混合C,1.1622,0.91%,-0.04%,0.65%,2.67%,12.38%,20.47%,
1331,鹏华弘信混合A,1.1158,-0.35%,-5.03%,-7.75%,-5.42%,14.07%,14.53%,
1332,鹏华弘信混合C,0.9934,-0.36%,-5.05%,-7.57%,-4.98%,2.30%,3.73%,
1333,大成景鹏灵活配置混合A,,,,,,,,已终止
1334,南方利鑫A,1.134,0.09%,-0.26%,0.00%,1.89%,11.29%,13.40%,
1335,南方利众A,1.0837,0.09%,-1.72%,-2.00%,-2.92%,12.57%,13.58%,
1336,鹏华弘益混合A,1.0877,0.18%,-2.19%,-3.02%,-1.24%,7.93%,8.69%,
1337,鹏华弘益混合C,1.0715,0.16%,-2.24%,-3.13%,-1.37%,7.18%,7.07%,
1338,安信稳健增值混合C,1.1925,0.34%,1.02%,1.58%,5.48%,18.94%,24.89%,
1339,兴银鼎新灵活配置混合,0.8779,-1.81%,-5.23%,-16.04%,-16.76%,-11.31%,-8.38%,
1340,华泰柏瑞惠利灵活混合A,0.8448,-0.47%,-0.71%,-5.70%,-11.34%,-16.19%,-15.60%,
1341,华泰柏瑞惠利灵活混合C,0.8047,-0.50%,-1.11%,-6.18%,-11.75%,-17.11%,-19.60%,
1342,易方达新享混合A,1.4764,-2.39%,-5.41%,-7.79%,-2.85%,51.59%,52.20%,
1343,易方达新享混合C,1.061,-2.31%,-5.47%,-7.86%,-3.03%,8.50%,10.89%,
1344,易方达沪深300医药ETF联接,0.9633,-7.46%,-19.59%,-15.25%,--,--,-4.94%,
1345,富国新收益灵活配置混合A,1.1378,-0.09%,-0.26%,0.18%,0.44%,12.80%,13.70%,
1347,富国新收益灵活配置混合C,1.1949,-0.17%,-0.42%,-0.17%,-0.17%,13.39%,19.40%,
1348,大摩新机遇混合,0.9192,-2.85%,-16.64%,-18.77%,-19.69%,-8.80%,-7.80%,
1349,富国改革动力混合,0.4303,-6.37%,-9.94%,-26.04%,-42.20%,-43.12%,-57.40%,
1351,诺安中证500ETF联接,0.6078,-7.66%,-15.06%,-25.98%,-32.56%,-31.36%,-39.16%,
1352,民生加银新战略混合,1.1509,0.00%,-1.03%,-1.46%,2.04%,17.11%,15.00%,
1355,广发聚泰混合A,1.032,0.00%,0.29%,0.89%,3.49%,15.30%,34.21%,
1356,广发聚泰混合C,1.0215,-0.20%,0.10%,0.59%,3.09%,13.52%,13.17%,
1357,泓德泓富混合A,1.0014,-1.09%,-10.16%,-13.10%,-7.92%,9.53%,11.17%,
1358,宝盈祥泰混合,1.0393,0.29%,-0.86%,-0.48%,-2.45%,1.87%,3.60%,
1359,国联安添鑫灵活配置混合A,0.8872,-2.06%,-8.64%,-19.81%,-19.67%,-8.80%,-8.98%,
1361,景顺中证TMT150ETF联接,0.4157,-10.34%,-18.75%,-30.08%,-34.59%,-37.82%,-58.40%,
1362,景顺长城领先回报混合A,1.1102,-0.81%,-4.84%,-6.07%,-2.30%,16.69%,17.04%,
1363,长城久惠灵活配置混合,1.0377,0.26%,0.16%,0.60%,1.99%,3.00%,3.72%,
1364,大成景润灵活配置混合,0.7242,-12.50%,-22.81%,-29.93%,-30.54%,--,-28.60%,
1365,大成正向回报灵活配置混合,0.6045,-3.80%,-18.61%,-25.94%,-22.45%,-19.89%,-39.20%,
1366,金鹰产业整合混合,0.5925,-7.66%,-23.05%,-19.92%,-23.15%,-39.13%,-40.90%,
1367,德邦新添利债券A,1.0091,0.61%,-0.60%,-0.32%,1.62%,20.58%,20.99%,
