代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来
002366,国联安鑫禧灵活配置混合C,1.0124,-0.29%,-1.29%,3.02%,-5.42%,--,2.79%
002367,国联安安稳混合,0.8201,-3.53%,-9.89%,-18.71%,-18.59%,--,-17.43%
002370,大成景秀灵活配置混合C,0.9485,-6.91%,-12.85%,-16.25%,-14.66%,--,-9.59%
002371,大成景明灵活配置混合C,1.0780,0.19%,-0.46%,-0.64%,2.76%,--,7.36%
002372,大成景穗灵活配置混合C,,,,,,,
002373,大成景源灵活配置混合C,1.2001,0.33%,4.08%,3.54%,5.08%,--,11.64%
002374,大成景鹏灵活配置混合C,,,,,,,
002376,国寿安保核心产业混合,0.8050,-3.11%,-16.58%,-23.94%,-23.42%,--,-11.77%
002377,建信睿怡纯债,1.0669,0.57%,1.23%,2.89%,5.03%,--,9.12%
002378,建信弘利灵活配置混合,0.9360,0.54%,-5.99%,-9.79%,-11.00%,--,-7.26%
002379,工银香港中小盘人民币,1.1662,-6.35%,-19.48%,-22.24%,-23.01%,--,9.10%
002380,工银香港中小盘美元,0.1689,-3.65%,-19.84%,-25.85%,-22.74%,--,8.42%
002381,东海祥瑞A,1.0231,0.29%,0.69%,1.89%,2.40%,--,2.30%
002382,东海祥瑞C,1.0111,0.30%,0.60%,1.71%,2.02%,--,1.10%
002383,大成趋势回报灵活配置混合,0.8364,-5.38%,-6.22%,-15.58%,-11.80%,--,-15.50%
002384,九泰鸿祥服务升级灵活配置混合,1.0042,1.01%,0.60%,-0.79%,-0.40%,--,0.40%
002385,博时沪深300指数C,1.2095,-3.05%,-7.70%,-16.87%,-15.05%,--,23.57%
002386,工银中国制造2025股票,0.8596,-8.07%,-11.27%,-16.89%,-22.05%,--,-13.40%
002387,工银沪港深股票,1.0014,-1.37%,-10.20%,-12.97%,-10.72%,--,6.96%
002388,天弘裕利灵活配置混合A,1.1216,0.29%,0.79%,1.27%,6.12%,--,13.09%
002389,招商安德保本混合A,1.0731,7.30%,-0.09%,0.19%,0.85%,3.07%,--
002390,招商安德保本混合C,--,0.00%,--,--,--,--,--
002391,华安全球美元收益债人民币A,--,1.01%,4.77%,5.57%,-0.36%,--,9.90%
002392,华安全球美元收益债美元现汇A,--,0.06%,0.38%,-3.93%,-5.07%,--,3.45%
002393,华安全球美元收益债C,--,0.93%,4.62%,5.33%,-0.91%,--,8.60%
002395,鹏华丰尚定开债A,0.9681,-1.02%,-0.51%,-1.12%,-0.72%,--,-1.57%
002396,鹏华丰尚定开债B,0.9621,-1.03%,-0.62%,-1.33%,-1.03%,--,-2.47%
002397,中邮增力债券,0.9785,0.72%,1.14%,1.98%,-0.31%,--,-2.20%
002398,华安安禧保本混合A,1.0480,8.82%,0.10%,0.48%,1.23%,3.54%,--
002399,华安安禧保本混合C,1.0340,7.41%,0.10%,0.38%,0.95%,2.98%,--
002400,南方亚洲美元债人民币A,--,0.78%,5.30%,8.77%,3.16%,--,13.44%
002401,南方亚洲美元债人民币C,--,0.74%,5.16%,8.50%,2.65%,--,11.99%
002402,南方亚洲美元债美元现汇A,--,-0.06%,0.92%,-0.97%,-1.68%,--,7.39%
002403,南方亚洲美元债美元现汇C,--,-0.12%,0.81%,-1.22%,-2.17%,--,6.02%
002404,博时裕乾纯债C,1.0842,0.56%,1.40%,3.24%,4.53%,--,8.29%
002405,光大保德信中高等级债券A,0.9850,0.39%,1.16%,-3.95%,-2.12%,--,-1.53%
002406,光大保德信中高等级债券C,0.9803,0.36%,1.06%,-4.14%,-2.58%,--,-2.00%
002407,前海恒远灵活配置混合,0.9942,-3.49%,-5.67%,-6.64%,-5.70%,--,0.43%
002408,中信建投医改,0.9519,-3.44%,-20.65%,-19.24%,-10.43%,--,-4.70%
002409,华夏新活力混合A,1.1100,0.27%,0.36%,1.65%,5.22%,--,10.90%
002410,华夏新活力混合C,1.0870,0.28%,0.37%,1.59%,5.13%,--,8.60%
002411,华夏新机遇混合,0.9764,-0.72%,-1.93%,-9.22%,-4.16%,--,2.74%
002412,华富安福保本混合,1.0150,1.50%,0.20%,1.10%,0.30%,0.10%,--
002413,中银瑞利混合A,0.9751,-0.31%,-2.50%,-0.91%,0.81%,--,9.32%
002414,中银瑞利混合C,0.9731,-0.31%,-2.60%,-1.02%,0.61%,--,6.71%
002415,融通通盈保本混合,1.0756,7.60%,0.37%,0.84%,1.51%,3.56%,--
002416,招商丰利灵活配置混合C,1.0353,-2.65%,-7.54%,-13.23%,-13.15%,--,-8.61%
002417,招商丰盛稳定增长混合C,1.1266,-2.01%,-5.64%,-9.09%,-9.31%,--,12.00%
002418,汇添富优选回报灵活配置混合C,0.9573,-1.23%,-12.01%,-16.38%,-14.74%,--,-4.00%
002419,汇添富盈安保本混合,1.0581,7.81%,0.38%,-0.47%,-0.66%,2.00%,--
002420,汇添富盈鑫保本混合,1.0788,7.60%,0.37%,0.19%,0.19%,2.48%,--
002421,新华增强债券A,1.1166,-0.15%,0.66%,-1.64%,-0.03%,--,11.27%
002422,新华增强债券C,1.1054,0.33%,0.47%,-1.14%,-0.08%,--,10.61%
002423,华宝标普美国消费美元,0.2024,-8.13%,-4.73%,3.93%,14.91%,--,32.06%
002424,博时文体娱乐主题混合,0.8248,-9.90%,-17.19%,-25.95%,-21.25%,--,-18.10%
002425,金鹰元禧混合C,1.0976,0.22%,-0.30%,-1.84%,-3.79%,--,59.22%
002426,华安全球美元票息债人民币A,--,1.03%,4.74%,6.08%,0.09%,--,8.20%
002427,华安全球美元票息债美元现汇A,--,0.13%,0.38%,-3.39%,-4.63%,--,3.03%
002429,华安全球美元票息债C,--,1.04%,4.70%,5.84%,-0.56%,--,6.90%
002430,中银丰利混合A,0.9833,0.92%,-0.71%,-1.30%,2.04%,--,8.70%
002431,中银丰利混合C,0.9823,0.92%,-0.71%,-1.40%,1.94%,--,8.50%
002432,天弘乐享保本混合,--,7.90%,0.36%,2.32%,2.79%,4.40%,--
002434,中银宏利混合A,0.9940,0.20%,-0.20%,0.19%,3.39%,--,12.72%
002435,中银宏利混合C,0.9931,0.30%,-0.10%,0.19%,3.30%,--,12.52%
002436,上投摩根红利回报混合C,0.9338,-1.79%,-4.50%,-6.04%,-6.46%,--,-0.58%
002437,上投摩根天颐年丰混合C,--,-1.29%,-1.19%,-0.89%,--,--,-0.70%
002438,创金合信尊盛纯债,1.0061,0.70%,1.60%,2.91%,5.49%,--,10.95%
002439,创金合信睿合定开混合,1.0554,2.83%,4.16%,5.50%,--,--,5.44%
002440,中加瑞盈债券,1.0635,0.77%,1.80%,2.59%,3.27%,--,6.34%
002441,德邦新添利债券C,1.0230,0.58%,-0.69%,-0.52%,1.48%,--,59.91%
002442,鑫元汇利债券,1.0611,0.64%,1.84%,3.54%,6.39%,--,10.31%
002443,前海开源沪港深龙头精选混合,0.9496,-0.52%,-12.48%,-18.21%,-17.72%,--,12.16%
002445,兴业丰泰债券,1.0481,0.48%,1.16%,2.34%,3.86%,--,4.90%
002446,广发稳鑫保本,1.0699,6.90%,0.19%,0.38%,0.00%,2.10%,--
002447,博时裕安纯债,1.0613,0.49%,1.60%,2.71%,5.10%,--,8.94%
002448,江信汇福,0.9295,-0.18%,1.86%,0.62%,-2.01%,--,-5.60%
002449,民生加银量化中国混合,0.8371,-3.78%,-14.53%,-23.27%,-25.38%,--,-15.90%
002450,平安大华睿享文娱混合A,1.0703,-2.76%,-8.79%,-10.41%,-3.73%,--,5.80%
002451,平安大华睿享文娱混合C,1.0484,-2.81%,-8.96%,-10.61%,-4.34%,--,3.60%
002452,民生加银和鑫定开债,1.0456,0.45%,2.84%,3.84%,5.82%,--,14.79%
002453,九泰久稳灵活配置混合A,1.0032,-5.94%,-5.76%,-5.67%,-4.48%,--,-1.90%
002454,九泰久稳灵活配置混合C,0.9821,-6.06%,-5.97%,-6.06%,-5.32%,--,-3.90%
002455,民生加银鑫喜混合,1.0446,0.40%,1.23%,1.89%,3.97%,--,10.66%
002456,招商安元保本混合A,1.0569,5.40%,-0.19%,-0.19%,-0.94%,1.64%,--
002457,招商安元保本混合C,--,0.00%,--,--,--,--,--
002458,国泰民利保本混合,1.0369,3.70%,0.29%,0.78%,0.68%,1.77%,--
002459,华夏鼎利债券发起式A,0.9806,-0.91%,-0.81%,-3.84%,-0.77%,--,5.66%
002460,华夏鼎利债券发起式C,0.9786,-0.91%,-0.81%,-3.85%,-0.87%,--,5.45%
002461,中银珍利混合A,0.9950,0.50%,0.10%,0.10%,3.00%,--,12.16%
002462,中银珍利混合C,0.9950,0.50%,0.10%,0.10%,2.90%,--,11.95%
002463,创金合信价值红利混合A,0.9091,-7.25%,-8.40%,--,--,--,-9.51%
002465,东兴众智优选混合,0.8460,-9.78%,-16.27%,-20.51%,-19.53%,--,-15.10%
002466,博时裕新纯债,1.0883,0.59%,1.45%,2.66%,4.77%,--,9.22%
002469,华泰柏瑞交易货币B,0.6986,0.23%,0.74%,1.72%,3.76%,--,7.85%
002472,光大保德信先进服务业混合,0.7776,-3.35%,-18.71%,-22.35%,-22.14%,--,-22.14%
002474,中邮睿信增强债,1.0635,0.95%,1.14%,2.21%,3.90%,--,6.50%
002475,中邮睿利增强债券,1.0016,0.50%,-0.10%,1.01%,-0.40%,--,0.30%
002476,博时安瑞18个月定开债A,1.0642,0.28%,1.62%,3.40%,5.03%,--,6.40%
002477,博时安瑞18个月定开债C,1.0532,0.19%,1.45%,3.13%,4.57%,--,5.30%
002478,中欧天添债券A,1.0292,-0.96%,-0.86%,-0.77%,0.78%,--,5.84%
002479,中欧天添债券C,1.0182,-0.97%,-0.97%,-0.97%,0.39%,--,4.62%
002481,银华双动力债券,1.0151,0.60%,0.00%,-1.07%,-1.93%,--,1.40%
002482,宝盈互联网沪港深混合,0.9413,-9.34%,-20.75%,-21.86%,-19.27%,--,-4.90%
002483,富国泰利定开债发起式,1.0872,0.46%,1.78%,3.52%,5.33%,--,8.70%
002485,国联安通盈混合C,1.2078,0.82%,-1.56%,-2.71%,-2.41%,--,6.49%
002486,上银慧添利债券,1.0202,0.70%,1.79%,2.90%,5.37%,--,10.93%
002487,汇添富稳添利定开债A,1.0225,0.29%,1.09%,1.29%,0.99%,--,2.20%
