代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来
003559,平安大华量化成长混合A,,,,,,,
003560,平安大华量化成长混合C,,,,,,,
003561,诺德成长精选A,1.0161,-2.49%,-8.48%,-10.00%,-5.27%,--,0.65%
003562,诺德成长精选C,1.0141,-2.50%,-8.50%,-10.03%,-5.25%,--,0.61%
003564,博时安诚18个月定开债A,1.0381,0.48%,2.06%,2.98%,3.18%,--,3.80%
003565,博时安诚18个月定开债C,1.0291,0.39%,1.98%,2.59%,2.59%,--,2.90%
003566,博时臻选纯债债券,1.0611,0.40%,1.28%,2.66%,4.85%,--,6.10%
003567,华夏行业景气混合,0.9558,-0.62%,-8.47%,-12.62%,-11.11%,--,-4.41%
003568,平安大华惠利纯债,1.0709,0.87%,1.38%,3.27%,4.76%,--,7.14%
003569,招商招丰纯债A,1.0558,0.50%,1.82%,3.11%,5.88%,--,8.92%
003570,招商招丰纯债C,--,--,--,--,--,--,0.00%
003571,招商招琪纯债A,1.0713,0.49%,1.79%,3.41%,5.54%,--,8.01%
003572,招商招琪纯债C,--,--,--,--,--,--,0.00%
003573,中信建投稳裕定开债,1.0577,0.27%,1.19%,3.34%,4.56%,--,5.75%
003574,大成惠利纯债,1.0511,0.45%,1.52%,3.03%,5.39%,--,7.93%
003575,大成惠益纯债,1.0362,0.27%,0.84%,1.93%,4.06%,--,6.78%
003578,中金中证500C,0.8133,-8.80%,-16.21%,-25.46%,-27.76%,--,-24.57%
003579,中金沪深300C,1.0225,-0.79%,-8.03%,-14.50%,-13.40%,--,-4.00%
003580,泰康沪港深价值优选混合,0.9660,-1.83%,-14.33%,-18.75%,-18.97%,--,-3.23%
003581,前海联合国民健康混合,,,,,,,
003582,中金量化多策略混合,0.8320,-3.82%,-10.65%,-17.89%,-19.71%,--,-16.90%
003583,建信稳定鑫利债券A,1.0739,0.26%,0.87%,2.05%,4.59%,--,7.43%
003584,建信稳定鑫利债券C,1.0661,0.23%,0.65%,1.76%,4.11%,--,6.65%
003585,先锋现金宝货币,0.6338,0.21%,0.66%,1.58%,3.64%,--,7.19%
003586,先锋精一混合A,0.7702,-4.93%,-13.98%,-19.69%,-29.01%,--,-22.81%
003587,先锋精一混合C,0.7572,-4.97%,-14.33%,-20.11%,-29.71%,--,-24.12%
003588,东吴增鑫宝货币A,0.6494,0.22%,0.69%,1.56%,3.57%,--,7.12%
003589,东吴增鑫宝货币B,0.7153,0.24%,0.75%,1.68%,3.82%,--,7.61%
003590,建信睿富纯债债券,1.0512,0.47%,1.20%,2.61%,4.79%,--,7.33%
003591,华泰柏瑞享利混合A,1.0899,0.94%,1.23%,-1.62%,-1.50%,--,9.01%
003592,华泰柏瑞享利混合C,,,,,,,
003593,国泰景气行业灵活配置混合,0.9520,1.27%,-15.82%,-13.79%,-13.65%,--,0.55%
003594,长盛盛崇灵活配置混合A,1.1068,0.39%,0.55%,1.31%,6.77%,--,16.15%
003595,长盛盛崇灵活配置混合C,1.0944,0.38%,0.31%,0.26%,5.16%,--,14.25%
003598,华商润丰灵活配置混合,0.9384,-5.52%,-10.64%,-10.64%,-7.93%,--,-5.90%
003601,申万菱信安鑫精选混合A,1.0229,0.59%,0.29%,0.99%,2.43%,--,8.48%
003602,申万菱信安鑫精选混合C,1.0229,0.49%,0.20%,0.79%,2.44%,--,8.38%
003603,景顺长城泰安回报混合A,1.0396,0.44%,1.50%,2.62%,5.41%,--,12.23%
003604,景顺长城泰安回报混合C,1.0386,0.44%,1.45%,2.52%,5.20%,--,11.82%
003605,景顺长城景泰汇利定开债,1.0869,0.56%,1.62%,2.93%,5.03%,--,8.70%
003606,海富通全球收益债券美元,--,0.28%,1.26%,-1.90%,-2.70%,--,-0.62%
003607,博时富益纯债债券,1.0588,0.85%,1.09%,3.02%,4.58%,--,6.65%
003610,南方荣安A,1.0711,0.43%,1.00%,0.38%,1.67%,--,7.04%
003611,南方荣安C,1.0630,0.41%,0.89%,0.17%,1.24%,--,6.23%
003612,南方卓元债券A,1.0692,0.68%,1.01%,0.94%,3.08%,--,6.83%
003613,南方卓元债券C,1.0611,0.65%,0.90%,0.73%,2.66%,--,6.02%
003614,信诚景瑞债券A,1.0685,0.49%,1.72%,2.74%,5.15%,--,8.75%
003615,信诚景瑞债券C,1.0665,0.48%,1.70%,2.69%,5.04%,--,8.55%
003618,招商招旺纯债A,1.0650,0.65%,1.71%,2.53%,4.35%,--,6.52%
003619,招商招旺纯债C,1.0612,0.61%,1.66%,2.46%,4.14%,--,6.11%
003622,创金合信优价成长股票A,0.8027,-4.77%,-12.97%,-25.92%,-29.22%,--,-19.78%
003623,创金合信优价成长股票C,0.8018,-4.54%,-12.77%,-25.83%,-29.16%,--,-19.87%
003624,创金合信资源股票发起式A,0.8783,-1.76%,-13.08%,-19.99%,-31.34%,--,-12.02%
003625,创金合信资源股票发起式C,0.8617,-1.80%,-13.19%,-20.21%,-32.07%,--,-13.68%
003626,平安大华鑫利混合A,1.0395,0.04%,0.04%,0.16%,4.14%,--,6.93%
003628,兴银收益增强债券,1.0106,0.28%,-0.11%,-1.35%,-0.97%,--,0.92%
003629,上投摩根全球多元配置人民币,--,-2.68%,0.87%,7.81%,6.81%,--,16.00%
003630,上投摩根全球多元配置美元现钞,--,-1.72%,-2.29%,0.00%,3.64%,--,17.93%
003631,上投摩根全球多元配置美元现汇,--,-1.72%,-2.29%,0.00%,3.64%,--,17.93%
003632,招商稳乾定开混合A,1.0257,-2.21%,-2.98%,-9.03%,-7.47%,--,-0.71%
003633,招商稳乾定开混合C,1.0168,-2.25%,-3.11%,-9.27%,-7.95%,--,-1.60%
003634,嘉实农业产业股票,0.8773,-3.44%,-11.55%,-18.01%,-22.32%,--,-12.59%
003637,安信永鑫增强债券A,1.0525,0.33%,0.51%,1.39%,4.75%,--,7.09%
003638,安信永鑫增强债券C,1.0518,0.30%,0.44%,1.26%,5.17%,--,7.22%
003640,兴业裕丰债券,1.0412,0.58%,1.86%,4.31%,6.29%,--,8.80%
003641,长盛盛丰灵活配置混合A,0.9881,0.87%,-2.24%,-3.51%,-2.94%,--,5.28%
003642,长盛盛丰灵活配置混合C,0.9816,0.86%,-2.29%,-3.63%,-3.26%,--,2.39%
003643,工银国债纯债债券C,1.0316,0.49%,1.19%,3.74%,4.91%,--,3.18%
003646,创金合信中证1000指数增强A,0.7173,-9.69%,-15.69%,-27.38%,-31.41%,--,-28.46%
003647,创金合信中证1000指数增强C,0.7169,-9.71%,-15.74%,-27.38%,-31.43%,--,-28.51%
003648,融通通祺债券,1.0579,0.65%,1.77%,3.04%,6.15%,--,8.80%
003650,融通通润债券,1.0428,0.65%,1.52%,3.28%,5.72%,--,8.13%
003651,博时丰达纯债6个月定开债,1.0057,0.37%,1.37%,2.87%,4.72%,--,5.97%
003652,招商招泰6个月定开债A,,,,,,,
003653,招商招泰6个月定开债C,,,,,,,
003655,信达澳银新财富混合,0.8540,-3.49%,-12.74%,-15.00%,-12.81%,--,2.19%
003656,民生加银鑫元纯债A,1.0430,1.09%,0.92%,4.40%,4.37%,--,4.42%
003657,民生加银鑫元纯债C,1.0445,1.05%,0.81%,4.18%,4.66%,--,4.56%
003658,长盛量化多策略灵活配置混合,0.8632,-6.05%,-13.69%,-20.26%,-17.61%,--,-13.00%
003659,山西策略灵活配置混合,0.8562,-4.31%,-8.38%,-12.79%,-16.98%,--,-14.03%
003660,中加纯债两年债券A,1.0518,0.32%,2.22%,2.66%,5.17%,--,8.62%
003661,中加纯债两年债券C,1.0798,0.30%,2.13%,2.49%,4.84%,--,7.96%
003662,鹏华永盛一年定开债,1.0908,0.69%,2.15%,4.03%,6.70%,--,9.13%
003663,鹏华兴泰定期开放混合,0.9591,0.33%,-3.43%,-7.82%,-7.33%,--,-4.64%
003664,新沃通利纯债A,1.0358,0.62%,1.34%,2.57%,3.02%,--,3.59%
003665,新沃通利纯债C,1.0583,0.60%,1.31%,2.52%,2.84%,--,5.84%
003666,天弘金明灵活配置混合,1.0481,0.03%,-0.79%,-0.83%,0.62%,--,4.72%
003668,东方红益鑫纯债A,1.0532,0.42%,1.67%,3.36%,5.49%,--,8.44%
003669,东方红益鑫纯债C,1.0456,0.38%,1.61%,3.20%,5.12%,--,7.68%
003670,中融物联网主题灵活配置混合,0.6871,-16.02%,-28.75%,-32.77%,-40.46%,--,-30.89%
003671,兴业裕恒债券,1.0509,0.50%,0.86%,0.47%,1.81%,--,5.07%
003672,兴业裕华债券,1.0475,0.36%,1.87%,3.13%,5.75%,--,9.35%
003673,中加丰裕纯债债券,1.0198,0.77%,2.44%,3.57%,5.66%,--,9.70%
003674,融通通玺债券,1.0545,0.57%,1.61%,3.13%,5.48%,--,8.01%
003677,融通通穗债券,1.0545,0.29%,0.90%,1.50%,2.96%,--,5.44%
003678,中融现金增利货币A,0.7641,0.24%,0.87%,1.89%,4.10%,--,7.98%
003679,中融现金增利货币C,0.8302,0.26%,0.93%,2.01%,4.35%,--,8.46%
003680,华润元大双鑫债券A,0.9058,-0.14%,0.19%,-4.68%,-10.03%,--,-9.36%
003681,建信睿享纯债债券,1.0860,0.46%,1.32%,2.81%,5.13%,--,8.60%
003682,博时安弘一年定开债A,1.0572,0.39%,1.51%,3.09%,4.31%,--,5.70%
003683,博时安弘一年定开债C,1.0492,0.34%,1.40%,2.88%,3.90%,--,4.90%
003684,汇安丰融混合A,1.0786,0.53%,1.06%,1.02%,4.44%,--,7.86%
003685,汇安丰融混合C,1.0737,0.52%,1.04%,0.97%,4.25%,--,7.37%
003686,国泰丰益灵活配置混合A,,,,,,,
003687,国泰丰益灵活配置混合C,,,,,,,
003689,国泰鸿益灵活配置混合A,0.9552,-0.95%,-4.89%,-6.75%,-4.51%,--,0.81%
003690,国泰鸿益灵活配置混合C,0.9539,-0.95%,-4.90%,-6.80%,-4.58%,--,0.67%
003691,农银金泰一年定开债,1.0772,0.60%,1.56%,2.80%,5.16%,--,7.99%
003692,大成景尚灵活配置混合A,1.0536,0.64%,0.92%,1.35%,3.52%,--,9.01%
003693,大成景尚灵活配置混合C,1.0510,0.63%,0.89%,1.29%,3.39%,--,8.74%
003696,国泰润鑫纯债债券,1.0200,0.58%,2.08%,3.48%,5.54%,--,6.65%
003697,华夏睿磐泰盛定开混合,0.9877,-1.00%,-1.29%,-4.76%,-3.75%,--,-1.67%
003698,华夏新锦祥混合A,,,,,,,
003699,华夏新锦祥混合C,,,,,,,
003702,平安中证沪港深高股息,0.8035,-1.34%,-13.23%,-18.49%,-20.28%,--,-14.37%
003703,博时富鑫纯债,1.0400,0.84%,1.74%,2.19%,1.74%,--,3.99%
003704,光大保德信事件驱动混合,0.9025,-1.61%,-5.38%,-14.85%,-11.49%,--,-9.80%
003708,博时民丰纯债A,1.0134,0.44%,1.54%,2.81%,5.18%,--,8.03%
003709,博时民丰纯债C,1.0131,0.41%,1.45%,2.61%,4.75%,--,7.25%
003710,国投瑞银和顺债券,1.1195,1.36%,-0.09%,0.18%,3.04%,--,11.90%
003711,泰达宏利京元宝货币A,0.6203,0.22%,0.77%,1.79%,3.98%,--,7.52%
003712,泰达宏利京元宝货币B,0.6867,0.24%,0.84%,1.91%,4.23%,--,8.01%
003713,英大睿盛A,0.8607,-4.74%,-11.20%,-16.88%,-14.36%,--,-6.79%
003714,英大睿盛C,0.8575,-4.74%,-11.22%,-16.95%,-14.52%,--,-7.12%
003715,宝盈消费主题混合,0.8160,-5.29%,-21.01%,-25.41%,-23.26%,--,-18.36%
003717,中银量化精选混合,0.6782,-7.15%,-18.61%,-27.46%,-35.02%,--,-32.31%
003718,易方达标普500指数美元汇,0.1778,-3.09%,-0.51%,4.22%,9.07%,--,20.70%
003719,易方达标普医疗保健美元汇,0.1868,-1.45%,2.62%,8.17%,9.98%,--,27.14%
003720,易标普生物科技美元汇,,,,,,,
003721,易标普信息科技美元汇,0.2035,-5.41%,-3.46%,4.80%,15.92%,--,38.72%
003722,易方达纳斯达克100美元汇,0.1778,-5.23%,-3.44%,5.45%,13.80%,--,18.69%
003723,华润元大双鑫债券C,0.9039,-0.17%,0.10%,-4.74%,-10.36%,--,-9.55%
003726,融通通颐定开债券A,,,,,,,
003727,融通通颐定开债券C,,,,,,,
003728,融通通宸债券,1.0426,0.71%,1.42%,2.09%,4.56%,--,7.49%
003730,博时富华纯债债券,1.0480,0.86%,1.13%,3.62%,5.96%,--,8.66%
003731,长安泓泽纯债债券A,1.0767,0.64%,1.69%,2.64%,4.94%,--,7.96%
003732,长安泓泽纯债债券C,1.0486,0.64%,1.75%,2.77%,5.23%,--,5.14%
003733,金鹰添裕纯债债券,1.0559,0.95%,1.90%,3.57%,5.32%,--,7.58%
003734,万家瑞盈灵活配置混合A,1.0905,0.70%,1.17%,1.09%,3.25%,--,9.00%
003735,万家瑞盈灵活配置混合C,1.0930,0.65%,1.09%,1.03%,3.67%,--,9.24%
003738,新华华瑞灵活配置混合,1.1355,0.11%,-3.06%,-0.47%,1.03%,--,13.55%
003739,新华鑫弘灵活配置混合,1.0387,0.26%,-1.26%,-2.29%,1.07%,--,3.75%
003741,鹏华丰盈债券,1.0365,0.48%,1.26%,2.41%,4.69%,--,7.65%
003742,汇安嘉汇纯债债券,1.0630,0.64%,1.63%,3.31%,5.84%,--,9.23%
003743,广发汇平一年定开债A,1.0531,0.54%,1.28%,2.23%,3.59%,--,5.64%
003744,广发汇平一年定开债C,1.0462,0.51%,1.18%,2.02%,3.20%,--,4.93%
003745,广发多元新兴股票,0.8308,-1.54%,-14.27%,-14.03%,-23.98%,--,-16.63%
003746,广发汇瑞3个月定开债券,1.0263,0.85%,1.56%,3.78%,6.52%,--,8.23%
003747,万家鑫享纯债A,1.0302,0.69%,1.41%,2.26%,2.94%,--,5.63%
003748,万家鑫享纯债C,1.0248,0.69%,1.37%,2.12%,2.37%,--,4.77%
003749,创金合信鑫收益混合A,0.9880,-7.34%,-8.12%,-7.94%,-5.01%,--,-1.50%
003750,创金合信鑫收益混合C,1.1640,-7.34%,-8.22%,-8.08%,-4.68%,--,16.10%
003751,万家瑞隆混合,0.8539,-5.78%,-12.76%,-24.16%,-19.23%,--,-14.83%
003752,工银如意货币A,0.8271,0.26%,0.88%,1.91%,4.12%,--,7.59%
003753,工银如意货币B,0.8932,0.28%,0.94%,2.04%,4.37%,--,8.06%
003754,国泰普益混合A,1.0954,0.42%,-2.43%,-4.17%,-2.04%,--,9.53%
003755,国泰普益混合C,1.0912,0.42%,-2.46%,-4.23%,-2.19%,--,9.11%
003758,国泰稳益定开灵活配置混合A,,,,,,,
003759,国泰稳益定开灵活配置混合C,,,,,,,
003760,国泰宁益定期开放灵活配置混合A,0.9013,-2.57%,-6.36%,-18.31%,-15.40%,--,-14.99%
003761,国泰宁益定期开放灵活配置混合C,0.9002,-2.58%,-6.39%,-18.36%,-15.51%,--,-15.10%
003762,国开开泰灵活配置混合A,1.0305,0.25%,1.51%,2.11%,3.81%,--,8.07%
003763,国开开泰灵活配置混合C,1.0224,0.22%,1.37%,1.87%,3.34%,--,7.24%
003765,广发创业板ETF联接A,0.7375,-7.53%,-19.74%,-27.42%,-29.54%,--,-26.31%
003766,广发创业板ETF联接C,0.7388,-7.54%,-19.76%,-27.39%,-29.46%,--,-26.18%
003767,泰达宏利纯利债券A,1.0202,0.46%,0.99%,2.04%,4.22%,--,7.09%
003768,泰达宏利纯利债券C,1.0170,0.43%,0.91%,1.90%,3.94%,--,6.66%
003769,中银品质生活混合,0.8639,-9.01%,-18.34%,-23.64%,-19.42%,--,-12.71%
003770,中银丰庆定期开放债券,1.0509,0.76%,1.60%,3.53%,5.27%,--,7.13%
003776,南方宣利定开债A,1.0519,1.21%,2.48%,2.56%,4.76%,--,5.23%
003777,南方宣利定开债C,1.0442,1.18%,2.38%,2.36%,4.35%,--,4.46%
003778,上投安瑞回报A,0.9920,0.00%,-1.27%,-1.34%,-0.45%,--,0.21%
003779,上投安瑞回报C,0.9831,-0.04%,-1.40%,-1.60%,-1.10%,--,-1.02%
003780,鹏华兴悦定期开放混合,0.9517,-0.47%,-5.42%,-8.10%,-7.80%,--,-4.91%
003782,招商稳阳定开混合A,1.0043,0.31%,-1.87%,-7.50%,-6.49%,--,0.02%
003783,招商稳阳定开混合C,0.9962,0.26%,-2.01%,-7.74%,-6.98%,--,-0.80%
003784,招商稳泰定开混合,1.0420,-0.21%,-1.66%,-3.44%,-0.83%,--,3.65%
003787,方正富邦惠利纯债A,1.0286,0.71%,0.83%,2.28%,6.27%,--,4.20%
003788,方正富邦惠利纯债C,1.0369,0.70%,0.79%,2.23%,5.30%,--,26.07%
003792,民生加银现金宝货币C,0.9297,0.28%,0.96%,2.03%,4.26%,--,6.25%
003793,泰达宏利溢利债券A,1.0127,0.44%,1.39%,2.49%,5.03%,--,8.24%
003794,泰达宏利溢利债券C,1.0098,0.39%,1.28%,2.28%,4.63%,--,7.60%
003795,方正富邦睿利纯债A,1.0110,0.79%,1.17%,3.17%,5.00%,--,9.05%
003796,方正富邦睿利纯债C,1.0101,0.77%,1.20%,3.19%,5.09%,--,9.06%
003797,华安新瑞利混合A,1.0878,0.23%,0.54%,1.23%,3.47%,--,8.85%
003798,华安新瑞利混合C,1.0858,0.23%,0.52%,1.18%,3.38%,--,8.65%
003799,华安新泰利灵活配置混合A,1.1484,-0.43%,-1.43%,4.78%,6.91%,--,14.71%
003800,华安新泰利灵活配置混合C,1.1329,-0.43%,-1.45%,4.21%,5.46%,--,13.16%
003801,华安新安平混合A,,,,,,,
003802,华安新安平混合C,,,,,,,
003803,华安新丰利灵活配置混合A,2.6104,-1.24%,-7.43%,-15.03%,-13.66%,--,160.82%
003804,华安新丰利灵活配置混合C,0.9163,-1.24%,-7.46%,-15.14%,-14.20%,--,-8.45%
003805,华安新恒利混合A,1.0943,-0.18%,0.36%,0.89%,3.23%,--,9.40%
003806,华安新恒利混合C,1.0928,-0.18%,0.34%,0.85%,3.01%,--,9.26%
003807,南方荣优鑫年享定开混合A,,,,,,,
003808,南方荣优鑫年享定开混合C,,,,,,,
003809,招商招顺纯债A,1.0569,0.50%,2.01%,3.46%,5.07%,--,5.67%
003810,招商招顺纯债C,--,--,--,--,--,--,0.00%
003811,中金金利A,1.0798,0.38%,0.52%,1.69%,4.29%,--,8.02%
003812,中金金利C,1.0848,0.34%,0.47%,1.57%,3.99%,--,8.52%
003813,泰康金泰3月定开混合,1.0385,-0.20%,-1.49%,-0.22%,1.52%,--,3.94%
003814,银华上证10年期国债A,1.0241,0.66%,-0.03%,2.06%,3.10%,--,2.50%
003815,银华上证10年期国债C,1.0152,0.64%,-0.04%,2.01%,2.94%,--,1.61%
003816,银华日利B,103.7855,0.27%,0.86%,1.86%,4.01%,--,15.86%
003817,银华上证5年期国债指数A,1.0355,0.74%,0.38%,2.83%,4.54%,--,3.61%
003818,银华上证5年期国债指数C,1.1273,0.72%,0.56%,2.97%,14.21%,--,12.79%
003819,广发景华纯债,1.0157,0.63%,1.32%,2.40%,5.02%,--,10.41%
003824,天弘信利债券A,1.0536,0.57%,1.78%,3.08%,5.59%,--,7.46%
003825,天弘信利债券C,1.0516,0.55%,1.71%,2.97%,5.37%,--,7.06%
003826,华夏鼎汇债券A,1.0396,0.35%,0.49%,0.46%,0.97%,--,4.02%
003827,华夏鼎汇债券C,1.0342,0.32%,0.43%,0.32%,0.67%,--,3.48%
003828,鹏华兴惠定期开放混合,1.0467,0.09%,-4.52%,-4.96%,-1.84%,--,4.53%
003831,建信鑫瑞回报灵活配置混合,1.0076,0.20%,-0.66%,-2.58%,0.10%,--,5.76%
003832,中银丰润定期开放债券,1.0352,0.76%,1.69%,4.12%,5.60%,--,7.08%
003833,金鹰添富纯债债券,1.0596,0.30%,0.78%,1.86%,3.75%,--,6.49%
003834,华夏能源革新股票,0.7365,-7.21%,-24.72%,-27.99%,-36.08%,--,-25.40%
003835,鹏华沪深港新兴成长混合,1.0206,-1.16%,-5.38%,0.99%,-9.33%,--,2.10%
003837,东方臻享纯债债券A,1.1000,0.38%,1.53%,2.22%,5.24%,--,9.99%
003838,东方臻享纯债债券C,1.0912,0.37%,1.50%,2.17%,5.14%,--,9.11%
003839,易方达瑞通灵活配置混合A,1.1333,-0.76%,-1.21%,-2.89%,2.36%,--,12.74%
003840,易方达瑞通灵活配置混合C,1.1309,-0.78%,-1.26%,-2.98%,2.21%,--,12.50%
003841,大成惠裕定开纯债债券,1.0558,0.62%,1.97%,3.53%,5.95%,--,7.61%
003842,中邮景泰灵活配置混合A,1.0833,0.25%,0.07%,0.08%,0.68%,--,8.34%
003843,中邮景泰灵活配置混合C,1.0752,0.24%,-0.02%,-0.12%,0.22%,--,7.53%
003845,汇安丰恒灵活配置混合A,0.8123,-9.85%,-17.38%,-27.24%,-26.63%,--,-19.64%
003846,汇安丰恒灵活配置混合C,0.8111,-9.85%,-17.41%,-27.27%,-26.69%,--,-19.76%
003847,华安鼎丰债券,1.0982,0.71%,1.72%,3.34%,5.93%,--,9.86%
003848,中银广利灵活配置混合A,0.9992,0.51%,0.13%,0.40%,3.47%,--,9.69%
003849,中银广利灵活配置混合C,1.0016,0.69%,0.29%,0.54%,3.56%,--,9.69%
003850,中银锦利灵活配置混合A,0.9858,0.30%,-0.92%,-1.21%,0.98%,--,7.09%
003851,中银锦利灵活配置混合C,0.9841,0.28%,-0.95%,-1.26%,0.88%,--,6.91%
003852,金鹰添享纯债债券,1.0129,-0.06%,-0.42%,0.14%,1.96%,--,3.97%
003853,金鹰信息产业股票A,0.9245,-6.55%,-9.20%,-10.40%,-7.34%,--,-6.03%
003854,汇安丰华混合A,1.6415,-1.34%,-2.75%,-5.05%,-1.48%,--,63.91%
003855,汇安丰华混合C,1.0849,-1.35%,-2.79%,-5.16%,-1.63%,--,8.33%
003856,国都聚鑫定期开放混合,--,0.09%,-0.01%,-0.56%,0.27%,--,5.98%
003857,前海开源周期优选混合A,0.8481,-0.50%,-8.48%,-14.12%,-20.90%,--,-15.06%
003858,前海开源周期优选混合C,0.8428,-0.52%,-8.51%,-14.16%,-21.22%,--,-15.59%
003859,招商招旭纯债A,1.0512,0.41%,2.06%,3.48%,5.10%,--,5.10%
003860,招商招旭纯债C,1.0502,0.40%,2.00%,3.37%,3.36%,--,38.96%
003861,招商兴福混合A,0.9628,-1.80%,-4.24%,-9.22%,-8.98%,--,-4.28%
003862,招商兴福混合C,0.9620,-1.34%,-4.88%,-8.91%,-8.85%,--,-4.07%
003863,招商招祥纯债A,1.0545,0.48%,1.35%,3.01%,4.57%,--,6.24%
003864,招商招祥纯债C,--,--,--,--,--,--,0.00%
003865,创金合信量化多因子股票C,0.8447,-8.86%,-13.47%,-24.96%,-30.79%,--,-33.77%
003866,博时富诚纯债债券,1.0136,0.58%,1.49%,2.98%,5.15%,--,7.47%
